countyName,pop2010,medage,divorced,pctrural,edu_baorup,medinc,col_enrol,age18-24,age25-59,age60up,students,white,black,MaleBachelor,MaleMaster,MaleProfessional,MaleDoctorate,FemaleBachelor,FemaleMaster,FemaleProfessional,FemaleDoctorate,Owneroccupied,Renteroccupied,popden,pctfor,turnout,obama08,mccain08,evanrate,churches,colleges
burke,90752,41.32,4547,42.65,9326,37139,4509,8263,41673,20720,2823,76716,6012,2640,1192,307,119,3270,1425,214,159,25859,9029,178.998028,77.4376,34.38,40,59,456.05,224,1
cabarrus,178564,36.76,6962,19.25,25974,53928,8840,13444,87272,29130,315,134149,27219,8569,2212,536,700,9587,3433,632,305,46708,16972,490.56044,69.99105,33.04,41,59,324.31,441,2
caldwell,83006,41.42,4121,34.43,7021,37261,4967,6505,39402,18404,3744,74925,4086,2248,807,261,214,2206,978,221,86,23645,7651,175.86017,80.579346,37.61,35,64,471.92,201,1
camden,10006,40.22,406,99.55,1186,61091,550,653,4949,1865,0,8193,1316,312,135,15,0,607,105,12,0,2930,512,41.518672,69.56829,19.69,33,66,134.37,31,0
carteret,66711,45.9,3792,32.6,11399,46155,3230,4769,31206,18167,1642,59346,4041,3872,1291,334,316,3572,1702,221,91,21043,7589,125.632768,65.83324,36.56,32,67,239.15,140,1
caswell,23714,43.72,980,99.19,1892,36927,1292,1753,11587,5533,0,14819,8020,557,221,14,24,686,317,37,36,6605,2183,55.666667,69.412,32.68,51,48,176.27,80,0
catawba,154354,39.64,8821,30.3,20079,43484,8114,12600,73466,31605,6491,126151,13041,6931,1879,759,357,7240,2434,285,194,42547,16704,385.885,74.22092,34.81,37,62,338.39,354,2
chatham,63806,43.76,2791,65.92,15460,56038,2643,4011,29459,16486,0,48237,8392,4033,1801,784,807,4820,2579,460,176,19687,5190,93.420205,46.133694,46.95,55,45,244.63,154,0
cherokee,27433,48.23,1163,100,3220,38144,1066,1626,11709,8834,1119,25700,350,1035,393,206,50,880,502,131,23,9569,1928,60.292308,78.156624,29.96,30,69,333.26,91,1
chowan,14763,44.9,729,67.62,1575,36761,929,1030,6409,4031,0,9174,5070,383,118,147,24,729,103,71,0,4039,1865,85.33526,74.93404,28.93,49,50,269.92,55,0
clay,10580,49.61,523,100,1462,35109,482,633,4451,3522,0,10231,0,493,140,56,42,486,231,14,0,3756,754,49.209302,74.170334,28.07,32,67,767.55,43,0
cleveland,98020,40.43,5025,55.79,10300,38208,6589,9032,44960,21133,6756,74123,20332,3340,818,407,332,3660,1439,184,120,25976,11703,211.25,80.15762,36.92,40,60,448.59,320,2
columbus,57971,39.86,2358,80.59,4599,35421,2371,4933,26890,12664,1814,35735,17713,1346,356,203,70,1882,535,130,77,15671,6108,61.86873,85.06254,35.62,46,54,435.09,269,1
craven,104170,36.26,4445,27.71,13680,44599,6189,12503,45230,22124,3039,72441,23193,4362,1630,498,285,4755,1910,118,122,25524,14678,149.66954,64.424484,28.14,43,57,228.71,261,1
cumberland,327348,31.26,17545,13.37,40909,43834,29336,41080,153235,45780,18169,164064,11711,11978,4187,1701,749,15089,6059,801,345,68516,48795,501.298622,69.534454,25.16,59,41,285.6,731,3
currituck,23652,41.4,899,98.31,2751,55376,1059,1697,11867,4505,0,21268,1361,1102,299,77,16,839,383,35,0,7729,1667,90.274809,67.79617,22.85,34,66,191.19,42,0
dare,34015,43.65,2071,28.96,7918,53889,1076,2201,17229,7792,0,31313,834,2574,855,266,87,2827,1053,193,63,11032,4433,89.044503,49.39,29.99,44,55,118.6,78,0
davidson,162874,40.42,7685,47.38,17882,44249,6914,12238,78154,33765,3123,137359,14421,5786,1543,659,274,7147,2030,299,144,47230,17254,3132.192308,74.58191,33.11,33,67,201.72,418,1
davie,41333,42.59,1657,70.29,6650,49727,1770,2667,19289,9658,0,36100,2593,1968,769,248,286,2482,724,138,35,13223,2609,155.973585,72.793755,44.66,30,69,250.7,126,0
duplin,58728,37.87,2241,86.46,3763,32816,2728,5000,26920,11924,1390,33449,14773,1070,332,71,17,1719,491,11,52,14802,6167,71.794621,78.15931,32.84,45,55,192.84,205,1
durham,268412,33.27,12277,5.63,74609,49894,31164,32269,136248,39298,27862,124274,10157,17547,7855,2908,4422,24241,11869,2714,3053,58488,46713,922.378007,30.235294,38.83,76,24,213.77,464,4
edgecombe,56583,39.76,2863,45.31,3747,32665,2945,4941,26020,11802,2426,21923,32435,1150,205,87,58,1713,407,120,7,13580,8021,112.045545,70.33235,31.77,67,33,307.72,206,1
forsyth,351378,37.26,17418,7.35,70383,46749,25555,35376,165287,65372,21616,218517,91227,21530,6276,3233,1827,25617,9367,1537,996,90028,46584,857.019512,52.594997,34.35,55,44,286.38,697,7
franklin,60836,39.2,2054,85.32,5957,43710,3003,4960,29596,11431,733,40003,16212,1779,609,146,150,2378,757,71,67,17707,5058,123.650407,66.13609,37.99,49,50,312.62,128,1
gaston,206186,39,10022,19.65,24690,43253,10768,17714,99497,39832,5920,161166,31431,7969,2567,874,544,9229,2868,587,52,53736,23627,579.174157,76.68092,32.33,37,62,412.9,529,2
gates,12192,42.06,562,100,859,45682,429,960,5737,2616,0,7768,4044,304,19,19,0,348,146,23,0,3595,811,35.753666,73.58964,30.38,52,47,414.69,51,0
graham,8882,44.34,320,100,787,28447,186,652,3862,2452,0,8004,0,191,117,44,10,341,82,0,2,2948,836,30.417808,88.85901,40.05,31,68,321.52,21,0
granville,60513,39.93,2403,54.75,5467,48210,2852,5186,30667,11276,0,36205,19652,1925,486,160,91,2016,646,107,36,15033,4787,113.960452,67.467445,36.4,53,46,337.29,139,0
greene,21260,37.86,634,100,1331,41488,1320,1834,10655,3864,0,10850,7964,486,92,30,19,532,163,9,0,4934,2087,80.226415,72.41462,38.38,47,53,148.16,61,0
guilford,489671,36.4,23555,12.69,100150,45676,44100,57268,230804,87248,43611,278525,15889,31568,9957,3048,2661,36503,12775,2022,1616,119154,70407,753.34,50.030777,34.95,59,41,232.14,1094,8
halifax,54565,41.89,2565,54.71,4254,30439,2343,4564,24939,12527,1484,21890,29109,923,411,208,120,1836,623,88,45,13827,7763,75.262069,67.75982,35.9,64,36,296.59,232,1
harnett,115792,33.49,4783,55.92,10891,42853,9957,11732,54299,17633,6785,78300,23973,3247,1295,234,232,4317,1281,144,141,26344,12767,194.608403,75.24864,30.78,41,58,230.9,265,2
haywood,58971,45.72,3178,55.44,8838,41377,2150,4119,26355,17025,2023,56405,624,2644,968,385,340,3248,1007,177,69,19879,6566,106.445848,72.14295,36.84,46,53,524.21,154,1
henderson,106966,45.43,5448,33.27,20656,46446,4035,6619,46558,31841,2089,94914,3224,6035,2591,989,700,6973,2745,338,285,34640,10469,286.005348,66.27109,38.6,39,60,335.73,181,1
hertford,24755,41.18,1008,68.64,2601,30878,1470,2577,11517,5476,1749,8786,14933,627,270,76,24,1121,387,43,53,5940,3067,69.929379,70.113884,39.59,71,29,287.69,95,2
hoke,47606,30.96,1795,43.15,4028,42927,3318,4176,23639,5440,0,21272,15716,1101,443,57,81,1541,705,62,38,10300,3932,121.754476,65.06706,24.6,59,40,141.29,87,0
hyde,5800,41.37,221,100,490,38265,328,406,3075,1252,0,3718,1836,198,68,0,0,214,8,2,0,1587,334,9.461664,64.10437,40.15,50,49,57.49,31,0
iredell,159766,39.02,6617,37.91,22239,48962,7216,12547,77063,29690,2283,128646,19047,7817,2413,654,295,8095,2340,512,113,43345,14661,278.337979,73.43101,32.39,37,62,281.01,362,1
jackson,40330,36.27,2198,73.09,6663,37190,6496,7862,16482,8860,10590,33489,745,2069,628,204,582,1887,1061,68,164,10518,5348,82.138493,61.686485,35.55,52,47,339.2,86,2
johnston,169669,36.43,6788,52.04,20125,49745,7760,12621,83685,26315,4095,125349,25546,6915,1414,379,225,8489,2231,238,234,43253,15840,214.228535,73.77387,35.23,38,62,244.95,368,1
jones,10156,44.17,537,100,758,38354,356,831,4632,2500,0,6395,3289,183,75,17,20,385,70,8,0,2946,1140,21.471459,71.21094,34.78,45,54,180.83,58,0
lee,57882,37.36,2702,42.76,6575,44120,2505,4867,26936,11229,4707,38688,11565,2106,554,129,146,2554,852,128,106,14764,6222,216.786517,70.35406,36.23,46,54,258.27,193,1
lenoir,59400,41.16,2716,45.01,5834,33625,3482,4750,26933,13456,2579,31758,24121,1522,610,192,131,2601,686,45,47,15039,9103,148.5,71.68355,32.44,50,50,339.49,273,1
lincoln,78396,40.57,3293,54.55,9278,47450,3585,5909,38509,15561,0,69940,4340,3623,645,166,125,3332,1248,139,0,22418,6989,262.19398,77.36509,38.99,33,66,313.28,181,0
macon,33928,47.9,1870,70.3,4777,38615,1104,2468,14049,10897,0,31811,447,1467,605,240,137,1533,692,60,43,12125,3655,65.751938,75.51214,35.14,39,60,486,116,0
madison,20782,43.43,979,80.01,2766,38580,1684,2040,9427,5232,1308,20035,240,841,334,17,101,1124,322,7,20,6146,1856,46.285078,70.42565,33.83,49,50,566.61,67,1
martin,24492,44.14,1020,90.62,2077,34766,1373,1880,11052,6162,956,13019,10651,552,106,55,9,875,364,81,35,6968,2986,52.898488,71.00087,33.83,52,48,344.62,120,1
mcdowell,45053,41.74,2069,78.12,4394,34953,2080,3320,21470,10490,1209,40754,1708,1614,397,166,124,1375,605,74,39,12741,4819,101.929864,82.851135,34.13,36,63,347.9,140,1
mecklenburg,923144,34,41719,1.07,229146,55294,64331,88369,477980,123258,48102,508946,28280,75456,24595,7896,3537,81331,28832,5501,1998,219296,131096,1751.696395,45.806007,28.32,62,38,222.14,1245,12
mitchell,15553,45.75,896,82.64,1664,32743,579,1088,7094,4368,0,14844,0,558,158,45,49,536,223,23,72,5106,1706,70.058559,82.99426,50.72,29,71,629.37,56,0
montgomery,27986,40.29,1137,76.84,2756,33861,1305,2171,12692,6366,850,19162,5231,818,332,80,55,1115,319,37,0,7364,2489,56.997963,76.51939,37.07,44,55,265.23,129,1
moore,88550,45.03,4268,50.66,18327,48319,4206,5502,37434,26442,3636,70913,11839,5888,2343,745,470,6094,2348,268,171,25958,8072,126.680973,62.95109,39.26,39,60,243.52,254,1
nash,95878,39.96,4208,47.56,12131,44499,5473,7931,45421,19674,4243,53531,35650,4034,929,436,68,4802,1564,137,161,24067,13695,177.551852,71.412384,36.66,49,50,305.35,313,2
new hanover,203254,37.39,11023,2.21,47673,48553,20492,25376,96941,40485,20047,160298,29907,14852,4525,2193,1132,17127,5800,1098,946,51420,32259,1021.376884,50.37772,29.31,49,50,222.84,316,3
northampton,22063,45.53,1257,89.37,1860,30578,1035,1732,9772,6007,0,8668,12895,422,82,100,11,745,424,61,15,6270,2107,41.162313,63.359074,36.56,65,35,143.9,83,0
onslow,186866,26.1,6748,26.35,15345,43561,10802,41874,78055,20436,4111,131590,27672,4919,1470,401,285,5931,1781,372,186,32073,24560,243.632334,72.73965,22.2,39,60,173.4,249,1
orange,134201,33.18,4894,28.53,42556,52981,25375,24445,61872,19920,27276,99495,15928,8623,5103,2259,3826,11159,6991,1860,2735,30344,19741,335.5025,21.056673,43.63,72,27,121.37,1052,1
pamlico,13116,48.4,437,100,1724,40561,616,894,5835,4048,378,10032,2632,518,175,51,90,526,319,42,3,4460,1003,38.919881,67.25522,33.84,42,57,177.72,52,1
pasquotank,40643,36.63,2063,41.32,4809,44085,3704,5145,18534,7777,5021,23059,15355,1057,473,214,78,2047,749,118,73,9671,4892,179.044053,64.779755,19.7,57,43,249.58,106,3
pender,52452,41.17,2444,68.76,6265,44338,2257,4116,24908,11554,0,39756,9269,2169,476,199,141,2249,801,140,90,16297,3912,60.220436,68.17674,28.68,42,58,183.02,119,0
perquimans,13490,46.55,482,100,1697,43041,857,950,5773,4008,0,9694,3347,500,232,110,45,644,142,17,7,4134,1219,54.615385,65.25457,27.05,43,57,221.07,57,0
person,39448,41.53,2151,75.52,3702,44668,2344,2965,18754,8654,2594,26968,10646,1072,256,77,5,1645,530,68,49,11370,4018,100.632653,72.41789,37.45,45,54,223.9,122,1
pitt,168752,31.06,7245,25.44,26672,38592,28776,31082,75037,24811,29255,99075,57257,7379,2490,1090,1323,9495,3515,777,603,35404,28601,258.822086,61.53947,28.86,54,46,216.08,425,2
polk,20448,49.17,1115,92.27,4154,43692,781,1242,8631,6671,0,18633,918,1182,448,145,259,1311,747,54,8,7037,2001,85.915966,61.167995,36.06,42,57,334.86,74,0
randolph,141909,39.55,6134,56.24,12272,40346,5792,11418,67147,28711,1988,121169,8176,3988,988,351,154,5032,1381,269,109,40399,14526,180.087563,80.48804,35.47,28,71,209.25,403,1
richmond,46634,38.8,2332,45.53,3083,30439,2302,4268,21305,9699,1472,28072,14269,860,373,65,85,1117,452,60,71,12180,5048,98.383966,77.394966,31.46,50,49,339.27,224,1
robeson,134489,34.43,5521,62.61,9906,29667,8201,15028,60798,22741,8159,38877,32637,2528,872,269,242,4004,1532,260,199,29919,14585,141.716544,86.23342,34.91,57,43,318.62,491,2
rockingham,93626,42.33,5167,61.94,8185,39231,4040,7146,44396,21393,2055,70875,17655,2693,587,178,95,3545,817,177,93,27294,10537,165.416961,75.43357,33.5,42,57,265.91,333,1
rowan,138359,39.15,5723,38.82,15545,43596,7456,12514,64744,28318,7669,105923,22392,5104,1349,593,166,6008,1842,371,112,37749,15128,270.761252,74.32297,32.08,38,61,266.14,337,4
rutherford,67750,42.5,3512,61.04,6855,35364,3573,5183,30854,16562,2124,58221,6854,2206,714,283,149,2256,1009,143,95,19723,7735,120.124114,81.07749,33.74,34,66,578.84,208,1
sampson,63511,38.28,2594,84.96,5148,35740,3364,5161,29305,12790,1452,35985,17128,1656,355,193,48,1997,745,77,77,16288,7493,67.136364,82.10583,35.76,46,54,365.94,274,1
scotland,36094,38.57,1617,48.39,3278,29368,1975,3320,16443,7301,781,16822,13943,966,314,98,131,1212,518,16,23,8566,4670,113.147335,73.31369,30.35,57,42,187.52,147,1
stanly,60588,40.56,2536,67.71,6201,44802,3812,5594,27953,13359,4183,50623,6630,2213,538,100,64,2349,817,72,48,17031,5103,153.387342,80.52263,40.34,31,68,432.15,237,2
stokes,47365,42.85,2309,75.7,3609,42689,1858,3425,22720,10777,0,44021,1916,1266,295,62,26,1371,509,63,17,15345,3414,104.789823,77.74658,36.98,32,67,252.17,110,0
surry,73715,41.28,3270,68.81,7582,37294,3030,5577,33864,17107,2910,64926,2749,2419,628,289,96,2828,1066,176,80,22037,7631,137.271881,78.363106,35.5,36,64,407.69,235,1
swain,13993,40.79,1157,100,1770,35071,755,1196,6237,3292,0,9315,0,455,242,57,61,585,356,14,0,4474,1298,26.501894,72.72727,29.85,49,50,321.94,36,0
transylvania,33076,48.84,1732,59.64,6522,39408,1662,2753,13248,11247,597,30577,1292,1900,682,257,172,2138,932,203,238,10608,3239,87.502645,62.016956,43.26,43,56,365.52,123,1
tyrrell,4403,41.46,177,100,286,32215,117,380,2219,1010,0,2403,1683,120,18,0,0,140,8,0,0,1272,391,11.289744,78.242226,37.9,49,50,268.89,19,0
union,202200,36.33,5893,27.29,34574,63386,8330,14781,97217,29326,1633,158954,23558,12388,3178,1149,353,13086,3667,573,180,53840,11795,317.425432,73.477516,31.04,36,63,308.45,310,1
vance,45375,38.65,2147,54.08,3134,34025,2216,4223,20373,9294,4057,20058,22645,800,262,107,93,1387,389,72,24,10742,5731,178.641732,73.02477,34.01,63,37,290.72,176,1
wake,906788,34.51,35694,6.1,259371,63770,71869,87419,465902,117966,49260,597546,18651,83203,30445,7558,7391,88649,32425,5668,4032,215485,110001,1087.275779,43.23861,40.03,57,42,182.76,1125,9
warren,20955,44.99,790,100,2034,30641,1129,1691,9475,5564,0,8128,10970,641,152,41,3,799,292,76,30,5898,1937,48.846154,62.343716,36.21,69,31,208.37,87,0
washington,13193,44.06,617,67.76,1072,32716,631,994,5799,3383,0,6084,6587,176,85,36,14,552,205,0,4,3457,1454,37.91092,64.267494,39.82,58,42,355.31,79,0
watauga,51034,28.49,1668,55.44,9952,31967,14898,16222,18602,9154,14653,48272,877,2725,1056,485,634,2857,1643,234,318,11440,9713,163.570513,49.17968,37.05,52,47,253.04,108,1
wayne,122815,36.67,5921,46.4,12595,41224,8452,12263,57163,22940,5996,72135,38499,3741,1108,423,242,4791,1926,247,117,29737,16543,222.088608,75.64708,32.68,45,54,240.93,360,2
wilkes,69301,42.47,2884,72.79,5922,33438,2395,4969,32333,16525,2617,62824,2830,2079,522,152,89,2038,904,101,37,20658,7156,91.546896,83.065155,49.93,30,69,493.21,216,1
wilson,81373,38.78,4056,38.66,9230,38596,4793,7143,37636,16579,3114,42222,31686,2860,696,350,132,4186,907,59,40,19572,12105,219.334232,70.30944,36.93,52,48,249.8,266,2
yadkin,38397,41.5,1592,84.68,2924,39807,1497,2870,17876,8748,0,34007,1192,953,237,146,12,1150,357,69,0,11660,3248,114.276786,82.45437,42.6,26,73,433.79,133,0
yancey,17775,45.57,680,100,1969,35703,529,1170,7976,5085,0,16967,145,509,256,110,50,801,218,16,9,5862,1629,56.971154,76.035835,43.55,47,52,269.84,42,0
